order_id,customer_email,product_name,unit_price,quantity,order_date,channel,country
1,uedwards@example.org,Wireless Mouse,19.99,1,2025-05-04,mobile_app,Malta
2,masongeorgia@example.org,Monitor 27-inch,189.0,1,2025-01-02,web,United Kingdom
3,wooddebra@example.com,Wireless Mouse,19.99,3,2025-06-19,mobile_app,Turks and Caicos Islands
4,dwright@example.com,Wireless Mouse,19.99,1,2025-05-29,marketplace,United Kingdom
5,jakewebb@example.net,Bluetooth Speaker,39.99,-1,2025-03-01,marketplace,Grenada
6,morleyholly@example.org,Bluetooth Speaker,39.99,4,2025-05-08,marketplace,United Kingdom
7,begumeileen@example.org,Bluetooth Speaker,39.99,3,2025-05-02,marketplace,United Kingdom
8,dawnbruce@example.com,Phone Charger Cable,9.99,4,2025-06-12,marketplace,United Kingdom
9,lisa36@example.org,USB-C Hub,34.5,3,2025-01-09,marketplace,Greece
10,,Laptop Stand,45.0,4,2025-04-02,web,United Kingdom
11,shanemoss@example.com,USB-C Hub,34.5,1,2025-06-16,mobile_app,United Kingdom
12,dean55@example.org,Mechanical Keyboard,79.99,1,2025-04-10,web,United Kingdom
13,owilson@example.com,USB-C Hub,34.5,3,2025-06-05,mobile_app,United Kingdom
14,hughesshirley@example.com,Phone Charger Cable,9.99,2,2025-06-06,web,United Kingdom
15,joshuarahman@example.org,Bluetooth Speaker,39.99,1,2025-02-10,marketplace,United Kingdom
16,,Phone Charger Cable,9.99,1,2025-01-18,mobile_app,United Kingdom
17,rhys82@example.com,Noise Cancelling Headphones,149.99,4,2025-01-24,web,United Kingdom
18,nicolaali@example.com,Phone Charger Cable,9.99,1,2025-07-14,mobile_app,United Kingdom
19,russelledwards@example.com,Webcam 1080p,59.99,3,2025-03-16,marketplace,United Kingdom
20,tjenkins@example.org,Webcam 1080p,59.99,2,2025-03-25,marketplace,United Kingdom
21,ahamilton@example.com,Wireless Mouse,19.99,3,2025-02-26,web,United Kingdom
22,thompsontom@example.org,Noise Cancelling Headphones,149.99,3,2025-01-05,marketplace,United Kingdom
23,gary26@example.org,USB-C Hub,34.5,1,2025-06-01,web,United Kingdom
24,bthompson@example.net,Monitor 27-inch,189.0,1,2025-07-11,mobile_app,United Kingdom
25,zbennett@example.com,Webcam 1080p,59.99,4,2025-04-29,mobile_app,United Kingdom
26,simsjake@example.net,Desk Lamp,24.99,1,2025-02-09,marketplace,United Kingdom
27,zquinn@example.com,Noise Cancelling Headphones,149.99,2,2025-06-14,web,United Kingdom
28,hughthomas@example.org,Phone Charger Cable,9.99,5,2025-05-23,mobile_app,United Kingdom
29,mitchelljodie@example.org,USB-C Hub,34.5,1,2025-04-16,web,Cayman Islands
30,rogerscott@example.net,Desk Lamp,24.99,2,2025-03-07,web,United Kingdom
31,williamwelch@example.net,Mechanical Keyboard,79.99,3,2025-02-16,mobile_app,United Kingdom
32,gharding@example.net,Monitor 27-inch,189.0,1,2025-03-21,web,Cameroon
33,chloeskinner@example.com,Laptop Stand,45.0,4,2025-01-21,web,United Kingdom
34,cwalsh@example.com,Wireless Mouse,19.99,1,2025-02-18,mobile_app,United Kingdom
35,parryabbie@example.org,Monitor 27-inch,189.0,4,2025-07-19,marketplace,United Kingdom
36,hazelwhitehead@example.com,Mechanical Keyboard,79.99,2,2025-03-21,marketplace,United Kingdom
37,lee24@example.com,USB-C Hub,34.5,3,2025-01-13,marketplace,United Kingdom
38,bakerlawrence@example.org,Noise Cancelling Headphones,149.99,4,2025-01-23,mobile_app,United Kingdom
39,georgina18@example.org,Laptop Stand,45.0,5,2025-04-12,mobile_app,United Kingdom
40,jenna67@example.com,Phone Charger Cable,9.99,1,2025-04-17,marketplace,United Kingdom
41,luke28@example.org,Phone Charger Cable,9.99,-1,2025-04-13,marketplace,Saint Kitts and Nevis
